Reg	Reg_correct	Operator	Operator_correct
NULL	NULL	AF038JP	AF6038
NULL	NULL	AF038ZT	AF6038
NULL	NULL	AF040CS	AFR40CS
NULL	NULL	AF040JS	AFR40JS
NULL	NULL	AF041UL	AFR41UL
NULL	NULL	AF042FT	AFR42FT
NULL	NULL	AF042VT	AFR42VT
NULL	NULL	AF045YM	AF6045
NULL	NULL	AF047BL	AF6047
NULL	NULL	AF049TM	AF6049
NULL	NULL	AF050CS	AFR50CS
NULL	NULL	AF050JS	AF6050
NULL	NULL	AF054ZT	AF6054
NULL	NULL	AF100WL	AF4100
NULL	NULL	AF101ZB	AFR667K
NULL	NULL	AF102EK	AF6102
NULL	NULL	AF102HK	AF6102
NULL	NULL	AF103EL	AF6103
NULL	NULL	AF104JJ	AF6104
NULL	NULL	AF104YJ	AF6104
NULL	NULL	AF106AB	AF6106
NULL	NULL	AF106PB	AF6106
NULL	NULL	AF107PE	AF6107
NULL	NULL	AF108GP	AF7593
NULL	NULL	AF111NR	AFR111N
NULL	NULL	AF111XF	AF6111
NULL	NULL	AF114JJ	AF6114
NULL	NULL	AF115ZL	AF6115
NULL	NULL	AF116AB	AF6116
NULL	NULL	AF116HK	AF6116
NULL	NULL	AF117VA	AF6117
NULL	NULL	AF118JJ	AF6118
NULL	NULL	AF118VA	AF7564
NULL	NULL	AF119YO	AF6119
NULL	NULL	AF120AB	AF6120
NULL	NULL	AF120YJ	AF6120
NULL	NULL	AF121LS	AF6121
NULL	NULL	AF122PB	AF6122
NULL	NULL	AF125XF	AF6125
NULL	NULL	AF126EK	AF6126
NULL	NULL	AF126HK	AF6126
NULL	NULL	AF126LA	AFR20WN
NULL	NULL	AF127DO	AF6127
NULL	NULL	AF128UU	AF4217
NULL	NULL	AF128YJ	AF6128
NULL	NULL	AF129QS	AF6129
NULL	NULL	AF129VA	AF6161
NULL	NULL	AF130EK	AF6239
NULL	NULL	AF131YO	AF6131
NULL	NULL	AF132AB	AF6132
NULL	NULL	AF132PB	AF6132
NULL	NULL	AF133PE	AF6129
NULL	NULL	AF134HK	AF6134
NULL	NULL	AF134JJ	AF6134
NULL	NULL	AF135EL	AF6135
NULL	NULL	AF136HK	AF7708
NULL	NULL	AF136YJ	AF6136
NULL	NULL	AF137XF	AF6137
NULL	NULL	AF138PB	AF6138
